Muestra,CT,Clase,factor_dilucion(10-fold)
replica1,14,calibracion,1
replica1,16,calibracion,2
replica1,19,calibracion,3
replica1,21,calibracion,4
replica1,26,calibracion,5
replica1,28,calibracion,6
replica2,15,calibracion,1
replica2,16,calibracion,2
replica2,20,calibracion,3
replica2,20,calibracion,4
replica2,26,calibracion,5
replica2,28,calibracion,6
replica3,17,calibracion,2
replica3,18,calibracion,3
replica3,22,calibracion,4
replica3,25,calibracion,5
replica3,29,calibracion,6
