DNA AcMNPV,Tiempo postranfección (horas),Ct
- (mock),72,No detectado
- (mock),72,32
- (mock),72,33
+,24,33
+,24,30
+,24,29
+,48,27
+,48,28
+,48,28
+,72,25
+,72,34
+,72,28
